Name of Project,Funding Partner,Implementing Partner Name ,Currency,Total Value,Start Date,Estimated End Date,Did Partner specify districts?,Maputo City,Maputo Province,Gaza,Inhambane,Manica,Sofala,Tete,Zambezia,Cabo Delgado,Nampula,Niassa,Notes,URL,Contact,Last Modified,Total Value (USD),Unique Project Name
Strengthening the Mozambican National Health System to cope with the COVID-19 health crisis by strengthening essential health services especially under pressure during the pandemic.,Spain,MISAU,EUR,500000,2022,2024,No,,,,,,,,,,,,,,,5/22/2024 12:00pm,523400.0,Strengthening the Mozambican National Health System to cope with the COVID-19 health crisis by strengthening essential health services especially under pressure during the pandemic. -- MISAU
Supporting health research capacities in Mozambique to provide the National Health System with scientific evidence to inform and guide public health decisions.,Spain,Fundaçao Manhiça (FM/CISM),EUR,2250000,2022,2024,Yes,,Manhiça,,,,,,,,,,,,,5/22/2024 12:07pm,2355300.0,Supporting health research capacities in Mozambique to provide the National Health System with scientific evidence to inform and guide public health decisions. -- Fundaçao Manhiça (FM/CISM)
"Improving the quality, coverage and resilience of Cabo Delgado's health care system",Spain,Medicus Mundi España (FAMME),EUR,3000000,2023,2026,Yes,,,,,,,,,Toda a província,,,,,,5/22/2024 12:11pm,3140400.0,"Improving the quality, coverage and resilience of Cabo Delgado's health care system -- Medicus Mundi España (FAMME)"
ProSaude,Spain,MISAU,EUR,800000,2023,2024,No,,,,,,,,,,,,,,,5/22/2024 12:15pm,837440.0,ProSaude -- MISAU
Strengthening the capacities of the Mozambican National Health System for the training of medical specialists within the framework of the PFME.,Spain,"SPANISH FOUNDATION FOR INTERNATIONAL COOPERATION, HEALTH AND SOCIAL AFFAIRS (FCSAI)",EUR,508900,2023,2025,No,,,,,,,,,,,,,,,5/22/2024 12:21pm,532716.52,"Strengthening the capacities of the Mozambican National Health System for the training of medical specialists within the framework of the PFME. -- SPANISH FOUNDATION FOR INTERNATIONAL COOPERATION, HEALTH AND SOCIAL AFFAIRS (FCSAI)"
Expandindo o acesso das mulheres e raparigas aos Servicos de Aborto Seguro e de Contracepcao em Mocambique!,Sweden,Ipas Mocambique,SEK,190000000,2023,2027,Yes,Maputo City,,,,,Toda a província,,Toda a província,Toda a província,Toda a província,Toda a província,,,luisa.fumo@gov.se,11/26/2024 9:22am,17823900.0,Expandindo o acesso das mulheres e raparigas aos Servicos de Aborto Seguro e de Contracepcao em Mocambique! -- Ipas Mocambique
4 SRHR (Comprehensive Abortion Care),UNFPA HQ/Regional,UNFPA,USD,250000,2024,2025,No,,,,,,,,,,,,,,masandoval@unfpa.org,5/22/2024 11:06am,250000.0,4 SRHR (Comprehensive Abortion Care) -- UNFPA
Maternal Health Trust Fund (including Fistula),UNFPA HQ/Regional,UNFPA,USD,800000,2022,2025,No,,,,,,,,,,,,"Total value is an estimate
Allocation is done annually by UNFPA HQ (calendar year)
Implementing partner is MISAU",,masandoval@unfpa.org,5/22/2024 11:03am,800000.0,Maternal Health Trust Fund (including Fistula) -- UNFPA
UNFPA Supplies,UNFPA HQ/Regional,UNFPA,USD,3600000,2024,2025,No,,,,,,,,,,,,,https://www.unfpa.org/unfpa-supplies-partnership,masandoval@unfpa.org,5/22/2024 11:06am,3600000.0,UNFPA Supplies -- UNFPA
Accelerating global focus on NCDs and PEN Plus country programs,UNICEF HQ/Thematic Funds/NatComs),UNICEF,USD,86735,2021,2025,Yes,,,,,,Nhamatanda,,,,,,,,hmuhammad@unicef.org,5/22/2024 11:24am,86735.0,Accelerating global focus on NCDs and PEN Plus country programs -- UNICEF
Enabling and Enhancing Early Childhood Development,UNICEF HQ/Thematic Funds/NatComs),UNICEF,USD,155948,2021,2026,No,,,,,,,,,,,,,,hmuhammad@unicef.org,5/22/2024 11:24am,155948.0,Enabling and Enhancing Early Childhood Development -- UNICEF
HIV and AIDS Thematic Fund,UNICEF HQ/Thematic Funds/NatComs),UNICEF,USD,365870,2021,2026,No,,,,,,,,,,,,,,hmuhammad@unicef.org,5/22/2024 11:24am,365870.0,HIV and AIDS Thematic Fund -- UNICEF
Nutrition,UNICEF HQ/Thematic Funds/NatComs),UNICEF,USD,846000,2021,2026,No,,,,,,,,,,,,,,hmuhammad@unicef.org,5/22/2024 11:24am,846000.0,Nutrition -- UNICEF
Surge Polio,UNICEF HQ/Thematic Funds/NatComs),UNICEF,USD,2754189,2021,2025,No,,,,,,,,,,,,,,hmuhammad@unicef.org,5/22/2024 11:24am,2754189.0,Surge Polio -- UNICEF
Malaria,UNITAID,WHO,USD,42000,2023,2025,No,,,,,,,,,,,,,,erbf@who.int,5/20/2024 9:26pm,42000.0,Malaria -- WHO
Triggering the Demographic Transition Programme,United Kingdom - FCDO,UNFPA,GBP,8192586,2021,2024,No,,,,,,,,,,,,,,masandoval@unfpa.org,5/22/2024 11:00am,10347236.117999999,Triggering the Demographic Transition Programme -- UNFPA
WHO FCTC - Framework Convention on Tobacco Control,United Kingdom - FCDO,WHO,GBP,60000,2022,2025,No,,,,,,,,,,,,,,erbf@who.int,5/20/2024 9:26pm,75780.0,WHO FCTC - Framework Convention on Tobacco Control -- WHO
Increased Use of Family Planning Methods,United Kingdom - FCDO,UNFPA,GBP,4000000,2021,2025,Yes,Maputo City,Toda a província,,,,,,"Morrumbala,Mocuba,Pebane,Nicoadala",,"Malema,Eráti,Nacala-Porto,Meconta",,"sub-partners: MISAU, DPS/SPS Zambezia, DPS/SPS Nampula, FDC, PSI",,masandoval@unfpa.org,11/26/2024 9:24am,5052000.0,Increased Use of Family Planning Methods -- UNFPA
"Scaling High Quality Laboratory Services for HIV Diagnosis, Care, Treatment and Monitoring ","US CDC,PEPFAR",APHL,USD,11530544,2019,2024,Yes,Maputo City,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,,,SSalo@cdc.gov,11/26/2024 9:19am,11530544.0,"Scaling High Quality Laboratory Services for HIV Diagnosis, Care, Treatment and Monitoring  -- APHL"
G2G Gaza,"US CDC,PEPFAR",SPS Gaza Province,USD,3462971,2019,2024,Yes,,,Toda a província,,,,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm,3462971.0,G2G Gaza -- SPS Gaza Province
Implementing innovative activities to epidemic control - Community,"US CDC,PEPFAR",Namati ,USD,6225000,2023,2028,Yes,Maputo City,Toda a província,Toda a província,Toda a província,,,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm,6225000.0,Implementing innovative activities to epidemic control - Community -- Namati 
Advancing sustainable implementation of comprehensive HIV/TB services,"US CDC,PEPFAR",CCS ,USD,91752033,2021,2026,Yes,Maputo City,,,,,,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm,91752033.0,Advancing sustainable implementation of comprehensive HIV/TB services -- CCS 
G2G Inhambane,"US CDC,PEPFAR",SPS Inhambane,USD,3844330,2022,2027,Yes,,,,Toda a província,,,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm,3844330.0,G2G Inhambane -- SPS Inhambane
G2G Nampula,"US CDC,PEPFAR",SPS Nampula,USD,3417627,2021,2026,Yes,,,,,,,,,,Toda a província,,,,SSalo@cdc.gov,11/26/2024 9:24am,3417627.0,G2G Nampula -- SPS Nampula
Advancing sustainable implementation of comprehensive HIV/TB services,"US CDC,PEPFAR",Univ of Washington/ITECH,USD,15649373,2021,2026,Yes,Maputo City,,,,,,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm,15649373.0,Advancing sustainable implementation of comprehensive HIV/TB services -- Univ of Washington/ITECH
G2G National Institute of Health,"US CDC,PEPFAR",INS,USD,16483110,2023,2028,Yes,Maputo City,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,,,SSalo@cdc.gov,11/26/2024 9:22am,16483110.0,G2G National Institute of Health -- INS
G2G Cabo Delgado,"US CDC,PEPFAR",SPS Cabo Delgado,USD,7728760,2020,2025,Yes,,,,,,,,,Toda a província,,,,,SSalo@cdc.gov,5/28/2024 2:59pm,7728760.0,G2G Cabo Delgado -- SPS Cabo Delgado
VMMC,"US CDC,PEPFAR",JHPIEGO,USD,23038595,2021,2026,Yes,,,Toda a província,,,Toda a província,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm,23038595.0,VMMC -- JHPIEGO
Joint United Nations Programme on HIV/AIDS (UNAIDS) under PEPFAR,"US CDC,PEPFAR",UNAIDS,USD,1969800,2021,2026,Yes,Maputo City,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,,,SSalo@cdc.gov,11/26/2024 9:24am,1969800.0,Joint United Nations Programme on HIV/AIDS (UNAIDS) under PEPFAR -- UNAIDS
G2G Ministry of Health,"US CDC,PEPFAR",MISAU Geral ,USD,38657402,2019,2024,Yes,Maputo City,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,,,SSalo@cdc.gov,11/26/2024 9:23am,38657402.0,G2G Ministry of Health -- MISAU Geral 
Human resources for health,"US CDC,PEPFAR",JHPIEGO HRH,USD,11027000,2022,2027,Yes,,,,,,,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm,11027000.0,Human resources for health -- JHPIEGO HRH
Infrastructure Support to scale up HIV/AIDS and TB services,"US CDC,PEPFAR",Arquiplan Lda,USD,12511018,2018,2023,Yes,,Matola,Xai-Xai,,Manica,Beira,Tete,Quelimane,Pemba,Nampula- Cidade,Lichinga,,,SSalo@cdc.gov,11/26/2024 9:20am,12511018.0,Infrastructure Support to scale up HIV/AIDS and TB services -- Arquiplan Lda
Implementing innovative activities to epidemic control - Community,"US CDC,PEPFAR",ADPP,USD,2000000,2023,2028,Yes,,,,,,,,,,Toda a província,,,,SSalo@cdc.gov,11/26/2024 9:18am,2000000.0,Implementing innovative activities to epidemic control - Community -- ADPP
G2G Maputo Province,"US CDC,PEPFAR",SPS Maputo,USD,4470702,2020,2025,Yes,,Toda a província,,,,,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm,4470702.0,G2G Maputo Province -- SPS Maputo
Advancing sustainable implementation of comprehensive HIV/TB services,"US CDC,PEPFAR",ICAP,USD,135063974,2021,2026,Yes,,,,,,,,"Ile,Maganja da Costa,Mocuba,Molumbo,Mopeia,Mulevala,Namarrói,Nicoadala,Quelimane",,"Angoche,Eráti,Ilha de Moçambique,Lalaua,Malema,Meconta,Mecubure,Mogovolas,Moma,Monapo,Mossuril,Muecate,Murrupula,Nacala-a-Velha,Nampula,Rapale,Ribáue",,,,SSalo@cdc.gov,11/26/2024 9:22am,135063974.0,Advancing sustainable implementation of comprehensive HIV/TB services -- ICAP
Advancing sustainable implementation of comprehensive HIV/TB services,"US CDC,PEPFAR",Mothers 2 Mothers ,USD,19170213,2021,2026,Yes,,,,,,,,Milange,Chiúre,"Angoche,Meconta,Mogovolas,Moma,Monapo,Murrupula",,,,SSalo@cdc.gov,11/26/2024 9:23am,19170213.0,Advancing sustainable implementation of comprehensive HIV/TB services -- Mothers 2 Mothers 
Advancing sustainable implementation of comprehensive HIV/TB services,"US CDC,PEPFAR",EGPAF,USD,117351990,2021,2026,Yes,,,"Bilene,Chibuto,Chokwe,Chonguene,Guijá,Limpopo,Mabalane,Mandlacaze,Mapai,Massingir,Xai-Xai","Funhalouro,Govuro,Homoine,Inhambane,Inharrime,Inhassoro,Jangamo,Mabote,Massinga,Maxixe,Morrumbene,Panda,Vilanculos,Zavala",,,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm,117351990.0,Advancing sustainable implementation of comprehensive HIV/TB services -- EGPAF
"Scaling High Quality Laboratory Services for HIV Diagnosis, Care, Treatment and Monitoring ","US CDC,PEPFAR",University of Maryland ,USD,10268523,2019,2024,Yes,Maputo City,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,,,SSalo@cdc.gov,11/26/2024 9:24am,10268523.0,"Scaling High Quality Laboratory Services for HIV Diagnosis, Care, Treatment and Monitoring  -- University of Maryland "
Infrastructure Support to scale up HIV/AIDS and TB services,"US CDC,PEPFAR",CCS Infrastructure,USD,6018407,2018,2023,Yes,,Matola,Xai-Xai,,Manica,Beira,Tete,Quelimane,Pemba,Nampula- Cidade,Lichinga,,,SSalo@cdc.gov,11/26/2024 9:21am,6018407.0,Infrastructure Support to scale up HIV/AIDS and TB services -- CCS Infrastructure
G2G Maputo City,"US CDC,PEPFAR",Servicos Saude Maputo Cidade,USD,3029935,2021,2026,Yes,Maputo City,,,,,,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm,3029935.0,G2G Maputo City -- Servicos Saude Maputo Cidade
Advancing sustainable implementation of comprehensive HIV/TB services,"US CDC,PEPFAR",ARIEL ,USD,124134623,2021,2026,Yes,,"Boane,Magude,Manhiça,Marracuene,Matola,Matutuíne,Moamba,Namaacha",,,,,,,"Ancuabe,Balama,Chiúre,Mecufi,Metuge,Montepuez,Mueda,Namuno,Nangade,Pemba",,,,,SSalo@cdc.gov,5/28/2024 2:59pm,124134623.0,Advancing sustainable implementation of comprehensive HIV/TB services -- ARIEL 
Scaling capacity in strategic information systems,"US CDC,PEPFAR",Jembi ,USD,5303127,2020,2025,Yes,Maputo City,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,,,SSalo@cdc.gov,11/26/2024 9:22am,5303127.0,Scaling capacity in strategic information systems -- Jembi 
HIV/TB emergency,"US CDC,PEPFAR",ARIEL High Risk Areas,USD,1600800,2021,2026,Yes,,,,,,,,,"Mueda,Nangade,Muidumbe",X,,,,SSalo@cdc.gov,11/26/2024 9:19am,1600800.0,HIV/TB emergency -- ARIEL High Risk Areas
Advancing sustainable implementation of comprehensive HIV/TB services,"US CDC,PEPFAR",Vanderbilt U. Medical Center/FGH,USD,175217170,2021,2026,Yes,,,,,,,,"Alto Molocue,Derre,Gilé,Gurué,Ile,Inhassunge,Luabo,Lugela,Maganja da Costa,Milange,Mocuba,Mocubela,Molumbo,Mopeia,Morrumbala,Namacurra,Nicoadala,Pebane,Quelimane,Zambezia",,,,,,SSalo@cdc.gov,5/28/2024 2:59pm,175217170.0,Advancing sustainable implementation of comprehensive HIV/TB services -- Vanderbilt U. Medical Center/FGH
G2G Zambezia,"US CDC,PEPFAR",SPS Zambezia,USD,5617906,2022,2027,Yes,,,,,,,,Toda a província,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm,5617906.0,G2G Zambezia -- SPS Zambezia
G2G Niassa,USAID,SPS/DPS Niassa,USD,9930998,2020,2027,Yes,,,,,,,,,,,Toda a província,,,gdebarros@usaid.gov,5/20/2024 9:26pm,9930998.0,G2G Niassa -- SPS/DPS Niassa
MOMENTUM Safe Surgery in Family Planning and Obstetrics (MSSFPO),USAID,"EngenderHealth, Focus Fistula",USD,8030000,2021,2026,Yes,,,,,,,,,,"Monapo,Memba,Angoche,Moma,Eráti,Nampula- Cidade,Ribáue,Nacala-Porto","Lichinga,Lago,Marrupa,Cuamba,Mandimba",,https://www.usaid.gov/mozambique/fact-sheet/momentum-routine-immunization-transformation-and-equity-usaid-m-rite,kamado@usaid.gov,11/26/2024 9:22am,8030000.0,"MOMENTUM Safe Surgery in Family Planning and Obstetrics (MSSFPO) -- EngenderHealth, Focus Fistula"
MOMENTUM Routine Immunization (M-RITE),USAID,"JSI, Prime Partner of Consortium; (other members include PATH,Accenture Development
Partnerships, Results for Development, Gobee Group, CORE
Group, andThe Manoff Group)",USD,16329000,2021,2025,Yes,,,,,,,,Toda a província,,"Meconta,Mogincual,Larde,Liupo,Mogovolas,Angoche,Moma,Malema,Lalaua,Murrupula,Mecuburi,Nampula- Cidade,Rapale,Muecate,Ribáue",,"DESCRIÇÃO DO PROGRAMA
USAID M-RITE fornece apoio ao Ministério da Saúde de Moçambique para reforçar o seu programa de imunização de rotina, identificando e removendo estrangulamentos persistentes e barreiras ao planeamento, entrega, procura e aceitação de serviços de imunização. As actividades incluem o trabalho com o Ministério da Saúde e ONGs locais para fornecer formação, supervisão de apoio e reforçar os comportamentos dos fornecedores para melhorar a qualidade da imunização de rotina e os cuidados de vacina COVID-19 a nível das unidades de saúde e da comunidade. A USAID M-RITE também fornecerá apoio para estabelecer melhores sistemas de planeamento, orçamentação e acompanhamento dos programas de imunização. O programa trabalhará também com organizações locais para desenvolver e implementar actividades de mudança social e comportamental destinadas a aumentar e sustentar a procura de imunizações.

RESULTADOS E IMPACTOS ESPERADOS

Estabelecer um sistema de informação que utilize eficazmente dados e análises para informar o planeamento, orçamentação e priorização de actividades relacionadas com imunizações.
Melhorar e sustentar actividades de mudança social e de comportamento para encorajar imunizações de rotina .
Aumentar e sustentar o acesso a cuidados de imunização de qualidade nas províncias alvo..",https://www.usaid.gov/mozambique/fact-sheet/momentum-routine-immunization-transformation-and-equity-usaid-m-rite,samacuacua@usaid.gov,11/26/2024 9:23am,16329000.0,"MOMENTUM Routine Immunization (M-RITE) -- JSI, Prime Partner of Consortium; (other members include PATH,Accenture Development
Partnerships, Results for Development, Gobee Group, CORE
Group, andThe Manoff Group)"
Alcancar,USAID,FHI 360,USD,56349014,2019,2024,Yes,,,,,,,,"Gurué,Ile,Pebane,Mocuba,Alto Molocue,Gilé",Toda a província,,,,https://www.usaid.gov/mozambique/fact-sheet/usaid-alcancar,dnhassico@usaid.gov,5/20/2024 9:26pm,56349014.0,Alcancar -- FHI 360
N’Weti Zambezia,USAID,N'weti-Comunicacao para Saude,USD,56835756,2019,2024,Yes,,,,,,,,"Mocuba,Maganja da Costa,Nicoadala,Quelimane,Alto Molocue,Ile,Morrumbala,Mocubela,Milange,Pebane,Molumbo,Mopeia,Gurué,Inhassunge",,,,,https://www.usaid.gov/global-health/health-areas/hiv-and-aids/usaid-commememorates-pepfar-20th-anniversary/N%27weti,jmachava@usaid.gov,5/20/2024 9:26pm,56835756.0,N’Weti Zambezia -- N'weti-Comunicacao para Saude
G2G Manica,USAID,SPS Manica,USD,2667392,2022,2027,Yes,,,,,Toda a província,,,,,,,"The intervention focuses all non-ajuda sites, with specific focus to Tambara and  Macossa districts",https://www.usaid.gov/mozambique/fact-sheet/jul-25-2023-manica-provincial-health-services-institutional-strengthening-project-g2g-manica,hntimane@usaid.gov,6/27/2024 9:27am,2667392.0,G2G Manica -- SPS Manica
MOMENTUM Country and Global Leadership (MCGL) - support to the COMSA/ SIS-COVE platform,USAID,JHPiego,USD,600000,2022,2024,Yes,Maputo City,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,,https://usaidmomentum.org/resource/momentum-country-and-global-leadership-factsheet/,tsimone@usaid.gov,11/26/2024 9:22am,600000.0,MOMENTUM Country and Global Leadership (MCGL) - support to the COMSA/ SIS-COVE platform -- JHPiego
USAID Improved Family Planning Initiative (IFPI),USAID,Pathfinder International,USD,40500000,2021,2026,Yes,,,,,,Toda a província,,"Morrumbala,Mopeia,Luabo,Chinde,Derre",,Toda a província,,"OBJECTIVES:
1) Expand access and improve the quality of health services.
2) Promote the participation of society in socio-cultural
activities in particular for youth.
3) Promote gender equality and equity,social inclusion, and
protection of the most vulnerable segments of the
population.
",https://www.usaid.gov/sites/default/files/2023-02/IFPI_Fact_Sheet-_January_2022.pdf,RZAQUEU@USAID.GOV,11/26/2024 9:23am,40500000.0,USAID Improved Family Planning Initiative (IFPI) -- Pathfinder International
G2G Zambézia,USAID,SPS/DPS Zambezia,USD,9200000,2022,2025,Yes,,,,,,,,Toda a província,,,,,,fwate@usaid.gov,5/20/2024 9:26pm,9200000.0,G2G Zambézia -- SPS/DPS Zambezia
Resilient Gorongosa,USAID,Gorongosa Project inc,USD,2500000,2023,2025,Yes,,,,,,"Nhamatanda,Dondo,Gorongosa,Muanza,Cheringoma,Maringué",,,,,,,,imatusse@usaid.gov,5/20/2024 9:26pm,2500000.0,Resilient Gorongosa -- Gorongosa Project inc
G2G Tete,USAID,SPS/DPS Tete,USD,8286838,2020,2027,Yes,,,,,,,Toda a província,,,,,,,anhabanga@usaid.gov,5/20/2024 9:26pm,8286838.0,G2G Tete -- SPS/DPS Tete
Global Health Supply Chain Procurement and Supply Management (PSM),USAID,Chemonics,USD,541730004,2016,2026,No,Maputo City,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,,https://www.usaid.gov/fact-sheet/procurement-and-supply-management-project-psm,luwilliams@usaid.gov,11/26/2024 9:21am,541730004.0,Global Health Supply Chain Procurement and Supply Management (PSM) -- Chemonics
(OCSIDA) USAID Facilitating Impact that Lasts for Orphans and Vulnerable Children (FILOVC) Local Activity South,USAID,Organização Comunitária para Saúde e Desenvolvimento (OCSIDA),USD,28800000,2022,2027,Yes,Maputo City,"Magude,Marracuene,Matola,Boane,Matutuíne,Moamba,Manhiça,Namaacha","Chibuto,Bilene,Chokwe,Limpopo,Xai-Xai,Chonguene,Guijá","Maxixe,Morrumbene,Inharrime,Zavala,Vilanculos,Massinga",,,,,,,,"Goals:
Reduce risky sexual behaviors among adolescents.
Increase the share of children and adolescents living with HIV (C/ALHIV) and high-risk children and adolescents who are healthy, stable, safe, and schooled.
Improve the quality and effectiveness of OVC prevention and case management services.
Strengthen national child protection systems.",https://www.usaid.gov/mozambique/fact-sheet/usaid-facilitating-impact-lasts-orphans-and-vulnerable-children-filovc-ocsida-local-activity-mozambique,echichava@usaid.gov,5/20/2024 9:26pm,28800000.0,(OCSIDA) USAID Facilitating Impact that Lasts for Orphans and Vulnerable Children (FILOVC) Local Activity South -- Organização Comunitária para Saúde e Desenvolvimento (OCSIDA)
G2G Sofala,USAID,SPS/DPS Sofala,USD,5072907,2021,2027,Yes,,,,,,Toda a província,,,,,,"the intervention focuses all non-ajuda sites, with specific focus to Chemba, Maringue and Muanza districts

---

The Sofala Provincial Health Services Institutional Strengthening Project has nine main objectives:

Improve patients' linkage to ART.

Increase the retention of patients on ART in the province.

Improve data quality for decision making at all levels.

Ensure the effectiveness of antiretroviral drugs in patients with comorbidities.

Ensure the correct prescription of optimized regimens to all patients on ART.

Improve the planning of HIV program activities.

Ensure the timely implementation of planned activities.

Improve the monitoring and evaluation of the implementation of the program activities.

Increase the TB case detection rate.",https://www.usaid.gov/mozambique/fact-sheet/jul-25-2023-sofala-provincial-health-services-institutional-strengthening-project-g2g-sofala,hntimane@usaid.gov,6/27/2024 9:28am,5072907.0,G2G Sofala -- SPS/DPS Sofala
Transform Nutrition,USAID,ADPP,USD,23029177,2019,2025,Yes,,,,,,,,,,"Lalaua,Mecubure,Rapale,Murrupula,Mogovolas,Meconta,Memba,Nacala-Porto,Mussuril,Mogincual,Angoche,Larde",,,https://www.usaid.gov/mozambique/fact-sheet/transform-nutrition,hpenicela@usaid.gov,11/26/2024 9:18am,23029177.0,Transform Nutrition -- ADPP
"AMOSTRA - Adapting and Modifying Optimized
Sample Transport Routes for Achieving
Impact",USAID,"Bolloré Transport & Logistics Moçambique, Lda.",USD,14411254,2021,2026,No,Maputo City,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,"OBJECTIVE:
Provide an effective and efficient transportation
system for laboratory specimens
",https://www.usaid.gov/sites/default/files/2022-05/AMOSTRA_Fact_sheet_10-2021.pdf,smurargy@usaid.gov,11/26/2024 9:20am,14411254.0,"AMOSTRA - Adapting and Modifying Optimized
Sample Transport Routes for Achieving
Impact -- Bolloré Transport & Logistics Moçambique, Lda."
Integrated Social Behavior Change Communication (SBCC),USAID,PIRCOM,USD,9303081,2019,2025,Yes,,,,,"Chimoio,Barue,Vanduzi,Gondola,Manica","Beira,Dondo,Nhamatanda,Buzi,Cheringoma","Tete,Moatize","Mocuba,Lugela,Ile,Morrumbala","Pemba,Ancuabe,Chiúre,Metuge","Mecuburi,Lalaua,Rapale,Meconta,Memba,Mossuril,Mogincual,Murrupula,Mogovolas,Angoche,Larde,Nacala-Porto","Lichinga,Cuamba",,https://www.usaid.gov/mozambique/fact-sheet/apr-26-2023-pircom-integrated-social-behavior-change-communication-sbcc,amataruse@usaid.gov,11/26/2024 9:23am,9303081.0,Integrated Social Behavior Change Communication (SBCC) -- PIRCOM
CHEGAR,USAID,"Africa Global Logistics Mozambique, S.A.(AGL)",USD,49799928,2021,2026,No,,,,,,,,,,,,"Goals:
Improve access to medical commodities for underserved communities 
Increase the effectiveness and efficiency of moving, storing, and delivering medical commodities to health facilities and pharmacies in rural and remote areas.",https://www.usaid.gov/mozambique/fact-sheet/usaid-commodities-health-ensuring-guaranteed-access-and-reliability-usaid-chegar,luwilliams@usaid.gov,5/20/2024 9:26pm,49799928.0,"CHEGAR -- Africa Global Logistics Mozambique, S.A.(AGL)"
G2G Nampula,USAID,SPS/DPS Nampula,USD,6190000,2023,2027,Yes,,,,,,,,,,Toda a província,,,,gdebarros@usaid.gov,11/26/2024 9:24am,6190000.0,G2G Nampula -- SPS/DPS Nampula
Child Early and Forced Marriage and Countering Violent Extremism (CEFM/CVE),USAID,Pathfinder International,USD,5100000,2020,2024,Yes,,,,,,,,,"Ancuabe,Pemba,Palma",,,,,rzaqueu@usaid.gov,5/20/2024 9:26pm,5100000.0,Child Early and Forced Marriage and Countering Violent Extremism (CEFM/CVE) -- Pathfinder International
TB Response,USAID,ADPP,USD,24995372,2019,2024,Yes,,,,,,"Beira,Buzi,Caia,Chemba,Cheringoma,Chibabava,Dondo,Gorongosa,Machanga,Marromeu,Muanza,Nhamatanda,Maringué","Angonia,Cahora-Bassa,Changara,Chifunde,Chiuta,Doa,Macanga,Marara,Moatize,Mutarara,Magoe,Tete,Tsangano,Zumbo,Marávia","Alto Molocue,Chinde,Derre,Ile,Inhassunge,Luabo,Lugela,Maganja da Costa,Milange,Mocuba,Mocubela,Molumbo,Mopeia,Morrumbala,Mulevala,Namacurra,Nicoadala,Pebane,Quelimane,Gilé,Gurué,Namarrói",,"Angoche,Lalaua,Larde,Malema,Meconta,Mecuburi,Memba,Mogincual,Mogovolas,Moma,Monapo,Mossuril,Muecate,Murrupula,Nacaroa,Rapale,Nacala-a-Velha,Liupo,Eráti,Ilha de Moçambique,Nampula- Cidade,Ribáue,Nacala-Porto",,,https://2017-2020.usaid.gov/mozambique/fact-sheets/tb-response,mchachine@usaid.gov,11/26/2024 9:18am,24995372.0,TB Response -- ADPP
UNICEF Maternal and Child Health Umbrella Grant 2.0,USAID,UNICEF,USD,5560000,2021,2024,Yes,,,,,,"Beira,Dondo,Nhamatanda,Buzi,Caia","Moatize,Cahora-Bassa,Mutarara,Macanga,Angonia,Tete","Quelimane,Nicoadala,Mocuba,Milange,Ile,Maganja da Costa,Inhassunge,Gilé,Pebane,Lugela,Alto Molocue,Gurué,Morrumbala",,"Monapo,Moma,Angoche,Nacala-Porto,Nampula- Cidade","Lichinga,Cuamba,Marrupa",,,dnhassico@usaid.gov,11/26/2024 9:24am,5560000.0,UNICEF Maternal and Child Health Umbrella Grant 2.0 -- UNICEF
LOGOS,USAID,DAI GLOBAL-LLC ,USD,750000,2023,2026,Yes,,,,,,,,"Quelimane,Mocuba,Gurué,Alto Molocue","Mocimboa da Praia,Palma,Quissanga,Muidumbe,Macomia","Angoche,Mogovolas,Nampula- Cidade,Nacala-Porto",,,,rvique@usaid.gov,11/26/2024 9:21am,750000.0,LOGOS -- DAI GLOBAL-LLC 
