Name of Project,Funding Partner,Implementing Partner Name ,Currency,Total Value of Project ,Year Started,Year Ending (Estimate),Did Partner specify districts?,Maputo City,Maputo Province,Gaza,Inhambane,Manica,Sofala,Tete,Zambezia,Cabo Delgado,Nampula,Niassa,Notes,URL,Contact,Last Modified
Joint United Nations Programme on HIV/AIDS (UNAIDS) under PEPFAR,"US CDC,PEPFAR",UNAIDS,USD,1969800,2021,2026,Yes,Maputo City,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,,,SSalo@cdc.gov,11/26/2024 9:24am
G2G Ministry of Health,"US CDC,PEPFAR",MISAU Geral ,USD,38657402,2019,2024,Yes,Maputo City,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,,,SSalo@cdc.gov,11/26/2024 9:23am
Human resources for health,"US CDC,PEPFAR",JHPIEGO HRH,USD,11027000,2022,2027,Yes,,,,,,,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm
Infrastructure Support to scale up HIV/AIDS and TB services,"US CDC,PEPFAR",Arquiplan Lda,USD,12511018,2018,2023,Yes,,Matola,Xai-Xai,,Manica,Beira,Tete,Quelimane,Pemba,Nampula- Cidade,Lichinga,,,SSalo@cdc.gov,11/26/2024 9:20am
Implementing innovative activities to epidemic control - Community,"US CDC,PEPFAR",ADPP,USD,2000000,2023,2028,Yes,,,,,,,,,,Toda a província,,,,SSalo@cdc.gov,11/26/2024 9:18am
G2G Maputo Province,"US CDC,PEPFAR",SPS Maputo,USD,4470702,2020,2025,Yes,,Toda a província,,,,,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm
Advancing sustainable implementation of comprehensive HIV/TB services,"US CDC,PEPFAR",ICAP,USD,135063974,2021,2026,Yes,,,,,,,,"Ile,Maganja da Costa,Mocuba,Molumbo,Mopeia,Mulevala,Namarrói,Nicoadala,Quelimane",,"Angoche,Eráti,Ilha de Moçambique,Lalaua,Malema,Meconta,Mecubure,Mogovolas,Moma,Monapo,Mossuril,Muecate,Murrupula,Nacala-a-Velha,Nampula,Rapale,Ribáue",,,,SSalo@cdc.gov,11/26/2024 9:22am
Advancing sustainable implementation of comprehensive HIV/TB services,"US CDC,PEPFAR",Mothers 2 Mothers ,USD,19170213,2021,2026,Yes,,,,,,,,Milange,Chiúre,"Angoche,Meconta,Mogovolas,Moma,Monapo,Murrupula",,,,SSalo@cdc.gov,11/26/2024 9:23am
Advancing sustainable implementation of comprehensive HIV/TB services,"US CDC,PEPFAR",EGPAF,USD,117351990,2021,2026,Yes,,,"Bilene,Chibuto,Chokwe,Chonguene,Guijá,Limpopo,Mabalane,Mandlacaze,Mapai,Massingir,Xai-Xai","Funhalouro,Govuro,Homoine,Inhambane,Inharrime,Inhassoro,Jangamo,Mabote,Massinga,Maxixe,Morrumbene,Panda,Vilanculos,Zavala",,,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm
"Scaling High Quality Laboratory Services for HIV Diagnosis, Care, Treatment and Monitoring ","US CDC,PEPFAR",University of Maryland ,USD,10268523,2019,2024,Yes,Maputo City,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,,,SSalo@cdc.gov,11/26/2024 9:24am
Infrastructure Support to scale up HIV/AIDS and TB services,"US CDC,PEPFAR",CCS Infrastructure,USD,6018407,2018,2023,Yes,,Matola,Xai-Xai,,Manica,Beira,Tete,Quelimane,Pemba,Nampula- Cidade,Lichinga,,,SSalo@cdc.gov,11/26/2024 9:21am
G2G Maputo City,"US CDC,PEPFAR",Servicos Saude Maputo Cidade,USD,3029935,2021,2026,Yes,Maputo City,,,,,,,,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm
Advancing sustainable implementation of comprehensive HIV/TB services,"US CDC,PEPFAR",ARIEL ,USD,124134623,2021,2026,Yes,,"Boane,Magude,Manhiça,Marracuene,Matola,Matutuíne,Moamba,Namaacha",,,,,,,"Ancuabe,Balama,Chiúre,Mecufi,Metuge,Montepuez,Mueda,Namuno,Nangade,Pemba",,,,,SSalo@cdc.gov,5/28/2024 2:59pm
Scaling capacity in strategic information systems,"US CDC,PEPFAR",Jembi ,USD,5303127,2020,2025,Yes,Maputo City,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,,,SSalo@cdc.gov,11/26/2024 9:22am
HIV/TB emergency,"US CDC,PEPFAR",ARIEL High Risk Areas,USD,1600800,2021,2026,Yes,,,,,,,,,"Mueda,Nangade,Muidumbe",X,,,,SSalo@cdc.gov,11/26/2024 9:19am
Advancing sustainable implementation of comprehensive HIV/TB services,"US CDC,PEPFAR",Vanderbilt U. Medical Center/FGH,USD,175217170,2021,2026,Yes,,,,,,,,"Alto Molocue,Derre,Gilé,Gurué,Ile,Inhassunge,Luabo,Lugela,Maganja da Costa,Milange,Mocuba,Mocubela,Molumbo,Mopeia,Morrumbala,Namacurra,Nicoadala,Pebane,Quelimane,Zambezia",,,,,,SSalo@cdc.gov,5/28/2024 2:59pm
G2G Zambezia,"US CDC,PEPFAR",SPS Zambezia,USD,5617906,2022,2027,Yes,,,,,,,,Toda a província,,,,,,SSalo@cdc.gov,5/28/2024 2:59pm
G2G Niassa,USAID,SPS/DPS Niassa,USD,9930998,2020,2027,Yes,,,,,,,,,,,Toda a província,,,gdebarros@usaid.gov,5/20/2024 9:26pm
MOMENTUM Safe Surgery in Family Planning and Obstetrics (MSSFPO),USAID,"EngenderHealth, Focus Fistula",USD,8030000,2021,2026,Yes,,,,,,,,,,"Monapo,Memba,Angoche,Moma,Eráti,Nampula- Cidade,Ribáue,Nacala-Porto","Lichinga,Lago,Marrupa,Cuamba,Mandimba",,https://www.usaid.gov/mozambique/fact-sheet/momentum-routine-immunization-transformation-and-equity-usaid-m-rite,kamado@usaid.gov,11/26/2024 9:22am
MOMENTUM Routine Immunization (M-RITE),USAID,"JSI, Prime Partner of Consortium; (other members include PATH,Accenture Development
Partnerships, Results for Development, Gobee Group, CORE
Group, andThe Manoff Group)",USD,16329000,2021,2025,Yes,,,,,,,,Toda a província,,"Meconta,Mogincual,Larde,Liupo,Mogovolas,Angoche,Moma,Malema,Lalaua,Murrupula,Mecuburi,Nampula- Cidade,Rapale,Muecate,Ribáue",,"DESCRIÇÃO DO PROGRAMA
USAID M-RITE fornece apoio ao Ministério da Saúde de Moçambique para reforçar o seu programa de imunização de rotina, identificando e removendo estrangulamentos persistentes e barreiras ao planeamento, entrega, procura e aceitação de serviços de imunização. As actividades incluem o trabalho com o Ministério da Saúde e ONGs locais para fornecer formação, supervisão de apoio e reforçar os comportamentos dos fornecedores para melhorar a qualidade da imunização de rotina e os cuidados de vacina COVID-19 a nível das unidades de saúde e da comunidade. A USAID M-RITE também fornecerá apoio para estabelecer melhores sistemas de planeamento, orçamentação e acompanhamento dos programas de imunização. O programa trabalhará também com organizações locais para desenvolver e implementar actividades de mudança social e comportamental destinadas a aumentar e sustentar a procura de imunizações.

RESULTADOS E IMPACTOS ESPERADOS

Estabelecer um sistema de informação que utilize eficazmente dados e análises para informar o planeamento, orçamentação e priorização de actividades relacionadas com imunizações.
Melhorar e sustentar actividades de mudança social e de comportamento para encorajar imunizações de rotina .
Aumentar e sustentar o acesso a cuidados de imunização de qualidade nas províncias alvo..",https://www.usaid.gov/mozambique/fact-sheet/momentum-routine-immunization-transformation-and-equity-usaid-m-rite,samacuacua@usaid.gov,11/26/2024 9:23am
Alcancar,USAID,FHI 360,USD,56349014,2019,2024,Yes,,,,,,,,"Gurué,Ile,Pebane,Mocuba,Alto Molocue,Gilé",Toda a província,,,,https://www.usaid.gov/mozambique/fact-sheet/usaid-alcancar,dnhassico@usaid.gov,5/20/2024 9:26pm
N’Weti Zambezia,USAID,N'weti-Comunicacao para Saude,USD,56835756,2019,2024,Yes,,,,,,,,"Mocuba,Maganja da Costa,Nicoadala,Quelimane,Alto Molocue,Ile,Morrumbala,Mocubela,Milange,Pebane,Molumbo,Mopeia,Gurué,Inhassunge",,,,,https://www.usaid.gov/global-health/health-areas/hiv-and-aids/usaid-commememorates-pepfar-20th-anniversary/N%27weti,jmachava@usaid.gov,5/20/2024 9:26pm
G2G Manica,USAID,SPS Manica,USD,2667392,2022,2027,Yes,,,,,Toda a província,,,,,,,"The intervention focuses all non-ajuda sites, with specific focus to Tambara and  Macossa districts",https://www.usaid.gov/mozambique/fact-sheet/jul-25-2023-manica-provincial-health-services-institutional-strengthening-project-g2g-manica,hntimane@usaid.gov,6/27/2024 9:27am
MOMENTUM Country and Global Leadership (MCGL) - support to the COMSA/ SIS-COVE platform,USAID,JHPiego,USD,600000,2022,2024,Yes,Maputo City,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,,https://usaidmomentum.org/resource/momentum-country-and-global-leadership-factsheet/,tsimone@usaid.gov,11/26/2024 9:22am
USAID Improved Family Planning Initiative (IFPI),USAID,Pathfinder International,USD,40500000,2021,2026,Yes,,,,,,Toda a província,,"Morrumbala,Mopeia,Luabo,Chinde,Derre",,Toda a província,,"OBJECTIVES:
1) Expand access and improve the quality of health services.
2) Promote the participation of society in socio-cultural
activities in particular for youth.
3) Promote gender equality and equity,social inclusion, and
protection of the most vulnerable segments of the
population.
",https://www.usaid.gov/sites/default/files/2023-02/IFPI_Fact_Sheet-_January_2022.pdf,RZAQUEU@USAID.GOV,11/26/2024 9:23am
G2G Zambézia,USAID,SPS/DPS Zambezia,USD,9200000,2022,2025,Yes,,,,,,,,Toda a província,,,,,,fwate@usaid.gov,5/20/2024 9:26pm
Resilient Gorongosa,USAID,Gorongosa Project inc,USD,2500000,2023,2025,Yes,,,,,,"Nhamatanda,Dondo,Gorongosa,Muanza,Cheringoma,Maringué",,,,,,,,imatusse@usaid.gov,5/20/2024 9:26pm
G2G Tete,USAID,SPS/DPS Tete,USD,8286838,2020,2027,Yes,,,,,,,Toda a província,,,,,,,anhabanga@usaid.gov,5/20/2024 9:26pm
Global Health Supply Chain Procurement and Supply Management (PSM),USAID,Chemonics,USD,541730004,2016,2026,No,Maputo City,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,,https://www.usaid.gov/fact-sheet/procurement-and-supply-management-project-psm,luwilliams@usaid.gov,11/26/2024 9:21am
(OCSIDA) USAID Facilitating Impact that Lasts for Orphans and Vulnerable Children (FILOVC) Local Activity South,USAID,Organização Comunitária para Saúde e Desenvolvimento (OCSIDA),USD,28800000,2022,2027,Yes,Maputo City,"Magude,Marracuene,Matola,Boane,Matutuíne,Moamba,Manhiça,Namaacha","Chibuto,Bilene,Chokwe,Limpopo,Xai-Xai,Chonguene,Guijá","Maxixe,Morrumbene,Inharrime,Zavala,Vilanculos,Massinga",,,,,,,,"Goals:
Reduce risky sexual behaviors among adolescents.
Increase the share of children and adolescents living with HIV (C/ALHIV) and high-risk children and adolescents who are healthy, stable, safe, and schooled.
Improve the quality and effectiveness of OVC prevention and case management services.
Strengthen national child protection systems.",https://www.usaid.gov/mozambique/fact-sheet/usaid-facilitating-impact-lasts-orphans-and-vulnerable-children-filovc-ocsida-local-activity-mozambique,echichava@usaid.gov,5/20/2024 9:26pm
G2G Sofala,USAID,SPS/DPS Sofala,USD,5072907,2021,2027,Yes,,,,,,Toda a província,,,,,,"the intervention focuses all non-ajuda sites, with specific focus to Chemba, Maringue and Muanza districts

---

The Sofala Provincial Health Services Institutional Strengthening Project has nine main objectives:

Improve patients' linkage to ART.

Increase the retention of patients on ART in the province.

Improve data quality for decision making at all levels.

Ensure the effectiveness of antiretroviral drugs in patients with comorbidities.

Ensure the correct prescription of optimized regimens to all patients on ART.

Improve the planning of HIV program activities.

Ensure the timely implementation of planned activities.

Improve the monitoring and evaluation of the implementation of the program activities.

Increase the TB case detection rate.",https://www.usaid.gov/mozambique/fact-sheet/jul-25-2023-sofala-provincial-health-services-institutional-strengthening-project-g2g-sofala,hntimane@usaid.gov,6/27/2024 9:28am
Transform Nutrition,USAID,ADPP,USD,23029177,2019,2025,Yes,,,,,,,,,,"Lalaua,Mecubure,Rapale,Murrupula,Mogovolas,Meconta,Memba,Nacala-Porto,Mussuril,Mogincual,Angoche,Larde",,,https://www.usaid.gov/mozambique/fact-sheet/transform-nutrition,hpenicela@usaid.gov,11/26/2024 9:18am
"AMOSTRA - Adapting and Modifying Optimized
Sample Transport Routes for Achieving
Impact",USAID,"Bolloré Transport & Logistics Moçambique, Lda.",USD,14411254,2021,2026,No,Maputo City,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,Toda a província,"OBJECTIVE:
Provide an effective and efficient transportation
system for laboratory specimens
",https://www.usaid.gov/sites/default/files/2022-05/AMOSTRA_Fact_sheet_10-2021.pdf,smurargy@usaid.gov,11/26/2024 9:20am
Integrated Social Behavior Change Communication (SBCC),USAID,PIRCOM,USD,9303081,2019,2025,Yes,,,,,"Chimoio,Barue,Vanduzi,Gondola,Manica","Beira,Dondo,Nhamatanda,Buzi,Cheringoma","Tete,Moatize","Mocuba,Lugela,Ile,Morrumbala","Pemba,Ancuabe,Chiúre,Metuge","Mecuburi,Lalaua,Rapale,Meconta,Memba,Mossuril,Mogincual,Murrupula,Mogovolas,Angoche,Larde,Nacala-Porto","Lichinga,Cuamba",,https://www.usaid.gov/mozambique/fact-sheet/apr-26-2023-pircom-integrated-social-behavior-change-communication-sbcc,amataruse@usaid.gov,11/26/2024 9:23am
CHEGAR,USAID,"Africa Global Logistics Mozambique, S.A.(AGL)",USD,49799928,2021,2026,No,,,,,,,,,,,,"Goals:
Improve access to medical commodities for underserved communities 
Increase the effectiveness and efficiency of moving, storing, and delivering medical commodities to health facilities and pharmacies in rural and remote areas.",https://www.usaid.gov/mozambique/fact-sheet/usaid-commodities-health-ensuring-guaranteed-access-and-reliability-usaid-chegar,luwilliams@usaid.gov,5/20/2024 9:26pm
G2G Nampula,USAID,SPS/DPS Nampula,USD,6190000,2023,2027,Yes,,,,,,,,,,Toda a província,,,,gdebarros@usaid.gov,11/26/2024 9:24am
Child Early and Forced Marriage and Countering Violent Extremism (CEFM/CVE),USAID,Pathfinder International,USD,5100000,2020,2024,Yes,,,,,,,,,"Ancuabe,Pemba,Palma",,,,,rzaqueu@usaid.gov,5/20/2024 9:26pm
TB Response,USAID,ADPP,USD,24995372,2019,2024,Yes,,,,,,"Beira,Buzi,Caia,Chemba,Cheringoma,Chibabava,Dondo,Gorongosa,Machanga,Marromeu,Muanza,Nhamatanda,Maringué","Angonia,Cahora-Bassa,Changara,Chifunde,Chiuta,Doa,Macanga,Marara,Moatize,Mutarara,Magoe,Tete,Tsangano,Zumbo,Marávia","Alto Molocue,Chinde,Derre,Ile,Inhassunge,Luabo,Lugela,Maganja da Costa,Milange,Mocuba,Mocubela,Molumbo,Mopeia,Morrumbala,Mulevala,Namacurra,Nicoadala,Pebane,Quelimane,Gilé,Gurué,Namarrói",,"Angoche,Lalaua,Larde,Malema,Meconta,Mecuburi,Memba,Mogincual,Mogovolas,Moma,Monapo,Mossuril,Muecate,Murrupula,Nacaroa,Rapale,Nacala-a-Velha,Liupo,Eráti,Ilha de Moçambique,Nampula- Cidade,Ribáue,Nacala-Porto",,,https://2017-2020.usaid.gov/mozambique/fact-sheets/tb-response,mchachine@usaid.gov,11/26/2024 9:18am
UNICEF Maternal and Child Health Umbrella Grant 2.0,USAID,UNICEF,USD,5560000,2021,2024,Yes,,,,,,"Beira,Dondo,Nhamatanda,Buzi,Caia","Moatize,Cahora-Bassa,Mutarara,Macanga,Angonia,Tete","Quelimane,Nicoadala,Mocuba,Milange,Ile,Maganja da Costa,Inhassunge,Gilé,Pebane,Lugela,Alto Molocue,Gurué,Morrumbala",,"Monapo,Moma,Angoche,Nacala-Porto,Nampula- Cidade","Lichinga,Cuamba,Marrupa",,,dnhassico@usaid.gov,11/26/2024 9:24am
LOGOS,USAID,DAI GLOBAL-LLC ,USD,750000,2023,2026,Yes,,,,,,,,"Quelimane,Mocuba,Gurué,Alto Molocue","Mocimboa da Praia,Palma,Quissanga,Muidumbe,Macomia","Angoche,Mogovolas,Nampula- Cidade,Nacala-Porto",,,,rvique@usaid.gov,11/26/2024 9:21am
(AMASI) USAID Facilitating Impact that Lasts for Orphans and Vulnerable Children (FILOVC) Local Activity North,USAID,Associação dos Educadores dos Consumidores de Água (AMASI),USD,21600000,2022,2027,Yes,,,,,,,,,"Pemba,Ancuabe,Metuge,Chiúre","Moma,Monapo,Mogovolas,Meconta,Nacala-Porto,Nampula- Cidade,Eráti,Muecate","Lichinga,Mandimba,Cuamba,Mecanhelas","Goals:
Reduce risky sexual behaviors among adolescents.
Increase the share of children and adolescents living with HIV (C/ALHIV) and high-risk children and adolescents who are healthy, stable, safe, and schooled.
Improve the quality and effectiveness of OVC prevention and case management services.
Strengthen national child protection systems.",https://www.usaid.gov/mozambique/fact-sheet/usaid-facilitating-impact-lasts-orphans-and-vulnerable-children-filovc-amasi-local-activity-mozambique,echichava@usaid.gov,11/26/2024 9:20am
Momentum Private Healthcare Delivery (MPHD),USAID,Population Service International (PSI),USD,1500000,2023,2025,Yes,,,,,,,,,,"Nacala-Porto,Nampula- Cidade",,,https://usaidmomentum.org/resource/mphd-fact-sheet/,amataruse@usaid.gov,11/26/2024 9:23am
USAID Malaria Capacity Strengthening (MCAPS) ,USAID,Medical Care Development Inc. (MCDI) ,USD,29900000,2022,2027,Yes,,,,,Toda a província,,,Toda a província,Toda a província,,,,,asaifodine@usaid.gov,5/20/2024 9:26pm
Mwanasana (Comusanas),USAID,Associação ComuSanas,USD,17843307,2020,2025,Yes,,,,,,"Beira,Dondo,Nhamatanda,Gorongosa,Buzi,Caia,Marromeu,Cheringoma,Maringué",,,,,,,https://www.usaid.gov/sites/default/files/2022-05/Comusanas_-_Fact_Sheet_May_2021.pdf,jmachava@usaid.gov,5/20/2024 9:26pm
USAID Fighting Malaria with Social and Behavioral Change (FMSBC),USAID,"Johns Hopkins University, on behalf of its Bloomberg School of Public Health’s Center for Communication Programs (JHU CCP) ",USD,17000000,2022,2027,Yes,,,,,"Chimoio,Macossa,Manica,Sussundenga,Vanduzi,Barue",,,"Inhassunge,Gurué,Ile,Maganja da Costa,Milange,Mocuba,Mopeia,Lugela,Namacurra,Namarrói,Alto Molocue,Quelimane",,"Lalaua,Larde,Monapo,Nacala-Porto,Nampula- Cidade,Nacala-a-Velha",,"The intended impact of this activity is to increase the adoption and maintenance of malaria prevention
and treatment behaviors in targeted areas of Mozambique. By improving malaria related behavioral
outcomes, USAID expects to see a reduction in the overall malaria burden. The project aims to see
observable shifts in priority behaviors and enabling social norms including, but not limited to:
■ Correct and consistent use and care of insecticide-treated nets;
■ Prompt and appropriate care-seeking for fever;
■ Early and regular antenatal care attendance;
■ Acceptance of intermittent preventive treatment in pregnancy, when offered;
■ Acceptance of indoor residual spraying, when offered;
■ Adherence to national testing and treatment guidelines;
■ Adherence to malaria in pregnancy guidelines; and
■ Acceptance of new forms of prevention interventions.",https://www.usaid.gov/sites/default/files/2023-07/FMSBC%20JHU%20CCP-%20May%202023.pdf,"hmucavele@usaid.gov, fwate@usaid.gov",11/26/2024 9:23am
RISE (Field Support),USAID,Jhpiego,USD,3000000,2022,2025,Yes,Maputo City,Matola,,,,,,,,Nampula- Cidade,,,,wgaspar@usaid.gov,11/26/2024 9:23am
"Intermediary Warehouse Implementation, Central And Intermediate Warehouses Management And Accountability Project (CMAM)",USAID,Central de Medicamentos e Artigos Medicos (CMAM),USD,2484571,2024,2027,No,,,,,,,,,,,,"The geographic scope of the project is Nationanwide, with focus on Provinces with Intermediary Warehouses and Regional/Central Warehouses, including the Provinces where DPMs will transition to Intermediary Warehouses. 

The Intermediary Warehouse Implementation, Central and Intermediate Warehouses Management and Accountability Project has six main objectives:

Implementation and operationalization of the strategy, processes, and procedures of intermediate warehouses.

Improved management of central and intermediate warehouses,  including minor infrastructure improvements;

Improved accountability and internal controls;

Improved security and communications capacity for CMAM Zimpeto warehouse;

Improvements to Zimpeto warehouse, including office space;

Improved stock control systems and security at Regional and Intermediate Warehouse",https://www.usaid.gov/mozambique/fact-sheet/intermediary-warehouse-implementation-central-and-intermediate-warehouses-management-and-accountability-project-cmam,fmoises@usaid.gov,5/20/2024 9:26pm
Voluntary Medical Male Circumcision (VMMC) Local Activity in Mozambique.,"USAID,PEPFAR",ELOS,USD,28000000,2023,2027,Yes,,,,,"Barue,Chimoio,Gondola,Guro,Machaze,Manica,Mossurize,Sussundenga,Vanduzi,Macate,Macossa",,"Angonia,Changara,Chiuta,Macanga,Moatize,Mutarara,Tete,Chifunde,Cahora-Bassa,Marávia,Zumbo",,,,,"Goals:
Reduce HIV incidence in Manica and Tete Provinces. 
Provide  safe and comprehensive VMMC services to 80% of males aged 15-29 in Tete and Manica Provinces",https://www.usaid.gov/mozambique/fact-sheet/voluntary-medical-male-circumcision,jtomas@usaid.gov,5/20/2024 9:26pm
ECHO - EFFICIENCIES FOR CLINICAL HIV OUTCOMES,"USAID,PEPFAR",ABT Associates,USD,239552897,2019,2026,Yes,,,,,"Barue,Chimoio,Gondola,Guro,Macate,Machaze,Manica,Mossurize,Sussundenga,Vanduzi","Beira,Buzi,Caia,Dondo,Gorongosa,Machanga,Marromeu,Nhamatanda,Cheringoma,Chibabava","Angonia,Changara,Chiuta,Macanga,Magoe,Marara,Moatize,Mutarara,Cahora-Bassa,Tete",,,,"Cuamba,Lago,Kichinga,Mandimba,Mecanhelas,Metarica,N'gauma","GOAL:
To support the Government of the
Republic of Mozambique in achieving
sustained, country-led HIV and AIDS
epidemic control by 2024",https://www.usaid.gov/sites/default/files/2023-02/ECHO_Fact_sheet_-_November_2021_Final.pdf,mbranquinho@usaid.gov,5/20/2024 9:26pm
USAID HIV Key & Populations (KPP)/PASSOS+,"USAID,PEPFAR",Centro Internacional de Saúde Reproductiva em Moçambique (ICRH-M),USD,34997541,2022,2027,Yes,Maputo City,"Boane,Matola,Moamba","Bilene,Chonguene,Limpopo,Xai-Xai","Inhambane,Inhassoro,Massinga,Maxixe,Govuro,Vilanculos","Chimoio,Gondola,Manica,Vanduzi","Beira,Chibabava,Dondo","Changara,Moatize,Tete,Chiuta","Alto Molocue,Milange,Mocuba,Namacurra,Nicoadala,Quelimane,Gurué","Ancuabe,Metuge,Montepuez,Pemba,Chiúre","Meconta,Mogovolas,Nacala-Porto,Nampula- Cidade,Nacala-a-Velha","Cuamba,Lichinga,Mandimba",,https://www.usaid.gov/mozambique/fact-sheet/hiv-key-and-priority-populations-local-activity-passos,wgaspar@usaid.gov,11/26/2024 9:21am
Manica OVC Local project (ANDA),"USAID,PEPFAR",Associação Nacional para o Desenvolvimento Auto Sustentado (ANDA),USD,22122240,2020,2025,Yes,,,,,"Barue,Chimoio,Gondola,Manica,Mossurize,Sussundenga,Guro,Vanduzi",,"Changara,Moatize,Cahora-Bassa,Tete",,,,,"USAID ChenguetaiVana works to reduce HIV prevalence and HIV-related mortality among children and adolescents byl identifying, linking and retaining vulnerable children, at-risk adolescents, and their families in care. Activities are designed to provide orphans and vulnerable children (OVC), adolescents and youth with strategies to stay healthy and develop life skills,support families to become more resilient, and engage and
mobilize communities to take action against harmful social norms and practices. It also works to improve coordination among health and social protection institutions and systems.The project is aligned with the Government of Mozambique’s strategic responses to the HIV epidemic and OVC crisis and will introduce innovative strategies and enhance collaboration with existing government structures to improve child protection and response readiness.",https://www.usaid.gov/sites/default/files/2022-05/ANDA_-_Fact_Sheet_January_2022.pdf,jmachava@usaid.gov,5/24/2024 8:58am
"SUPPORT TO THE NATIONAL COUNCIL
TO COMBAT HIV/AIDS (CNCS
G-TO-G)","USAID,PEPFAR","Conselho Nacional de Combate ao
HIV/SIDA",USD,7000000,2019,2027,Yes,,"Boane,Manhiça,Matutuíne","Mandlacaze,Chokwe,Mapai","Massinga,Vilanculos,Maxixe,Mabote,Inharrime","Sussundenga,Mossurize,Machaze,Guro,Vanduzi","Cheringoma,Nhamatanda,Dondo,Buzi,Marromeu","Mutarara,Marávia,Magoe,Cahora-Bassa,Angonia","Namacurra,Maganja da Costa,Mocuba,Pebane,Mocubela","Montepuez,Chiúre,Ancuabe,Namuno,Mecufi","Larde,Lalaua,Liupo,Nacala-a-Velha,Murrupula,Muecate,Monapo","Cuamba,Mandimba,Mecanhelas,Metarica,N'gauma",,https://www.usaid.gov/sites/default/files/2022-05/CNCS_Fact_sheet_-_January_2022_.pdf,acossa@usaid.gov,11/26/2024 9:21am
PREDICOS - Programa de Revitalização dos Serviços Distritais e Comunitários de Saúde,"World Bank,Global Financing Facility",MISAU,USD,115000000,2024,2028,Yes,,"Matola,Manhiça,Marracuene","Chibuto,Chicualacuala,Chigubo,Guijá,Mabalane,Massangena","Funhalouro,Govuro,Mabote,Panda,Vilanculos,Zavala","Guro,Macossa,Manica,Mossurize,Tambara","Chemba,Marromeu,Machanga,Maringué,Muanza,Beira","Chifunde,Marávia,Moatize,Mutarara,Zumbo,Doa","Chinde,Derre,Luabo,Maganja da Costa,Mocubela,Molumbo,Morrumbala,Namacurra,Pebane","Balama,Mecufi,Meluco,Muidumbe,Namuno,Nangade,Palma","Angoche,Eráti,Memba,Mogincual,Mogovolas,Moma,Monapo,Larde,Liupo","Mandimba,Marrupa,Mavago,Mecanhelas,Muembe,N'gauma,Chimbonila","Breakdown of Funding: 
World Bank: USD$100M
GFF: USD$15M",https://projects.worldbank.org/en/projects-operations/project-detail/P179913,hcossa@worldbank.org,11/26/2024 9:23am
